,dataset_name,model_name,batch_size,weight_decay,learning_rate,fix_noiselevel,init_noiselevel,dropout_prob
3636,protein-tertiary-structure,fixnoiseFCN,32,0.1,0.0005,0.001,0.01,0.01
3640,kin8nm,noisyFCN,32,0.001,0.0005,0.01,0.05,0.01
3642,power-plant,noisyFCN,32,1e-05,0.002,0.01,0.005,0.01
3644,kin8nm,noisyFCN,32,0.001,0.0005,0.01,0.1,0.01
3645,power-plant,noisyFCN,32,1e-05,0.002,0.01,0.01,0.01
3648,kin8nm,noisyFCN,32,0.001,0.001,0.01,0.001,0.01
3649,power-plant,noisyFCN,32,1e-05,0.002,0.01,0.05,0.01
3653,kin8nm,noisyFCN,32,0.001,0.001,0.01,0.005,0.01
3656,power-plant,noisyFCN,32,1e-05,0.002,0.01,0.1,0.01
3658,kin8nm,noisyFCN,32,0.001,0.001,0.01,0.01,0.01
3661,kin8nm,noisyFCN,32,0.001,0.001,0.01,0.05,0.01
3663,kin8nm,noisyFCN,32,0.001,0.001,0.01,0.1,0.01
3664,kin8nm,noisyFCN,32,0.001,0.002,0.01,0.001,0.01
3665,kin8nm,noisyFCN,32,0.001,0.002,0.01,0.005,0.01
3668,power-plant,noisyFCN,32,1e-09,0.0001,0.01,0.001,0.01
3669,kin8nm,noisyFCN,32,0.001,0.002,0.01,0.01,0.01
3671,kin8nm,noisyFCN,32,0.001,0.002,0.01,0.05,0.01
3673,kin8nm,noisyFCN,32,0.001,0.002,0.01,0.1,0.01
3674,protein-tertiary-structure,fixnoiseFCN,32,0.1,0.0005,0.005,0.01,0.01
3675,power-plant,noisyFCN,32,1e-09,0.0001,0.01,0.005,0.01
3677,kin8nm,noisyFCN,32,0.0001,0.0001,0.01,0.001,0.01
3681,kin8nm,noisyFCN,32,0.0001,0.0001,0.01,0.005,0.01
3683,power-plant,noisyFCN,32,1e-09,0.0001,0.01,0.01,0.01
3687,kin8nm,noisyFCN,32,0.0001,0.0001,0.01,0.01,0.01
3690,power-plant,noisyFCN,32,1e-09,0.0001,0.01,0.05,0.01
3692,kin8nm,noisyFCN,32,0.0001,0.0001,0.01,0.05,0.01
3699,kin8nm,dropoutFCN,32,0.1,0.0001,0.1,0.01,0.2
3700,kin8nm,noisyFCN,32,0.0001,0.0001,0.01,0.1,0.01
3701,kin8nm,dropoutFCN,32,0.1,0.0001,0.1,0.01,0.1
3702,protein-tertiary-structure,fixnoiseFCN,32,0.1,0.0005,0.01,0.01,0.01
3703,kin8nm,noisyFCN,32,0.0001,0.0005,0.01,0.001,0.01
3704,kin8nm,dropoutFCN,32,0.1,0.0001,0.1,0.01,0.05
3705,kin8nm,dropoutFCN,32,0.1,0.0001,0.1,0.01,0.01
3706,kin8nm,noisyFCN,32,0.0001,0.0005,0.01,0.005,0.01
3707,power-plant,noisyFCN,32,1e-09,0.0001,0.01,0.1,0.01
3708,kin8nm,dropoutFCN,32,0.1,0.0001,0.1,0.01,0.005
3709,kin8nm,noisyFCN,32,0.0001,0.0005,0.01,0.01,0.01
3710,kin8nm,dropoutFCN,32,0.1,0.0001,0.1,0.01,0.001
3711,kin8nm,dropoutFCN,32,0.1,0.0005,0.1,0.01,0.2
3712,kin8nm,noisyFCN,32,0.0001,0.0005,0.01,0.05,0.01
3713,kin8nm,dropoutFCN,32,0.1,0.0005,0.1,0.01,0.1
3714,kin8nm,dropoutFCN,32,0.1,0.0005,0.1,0.01,0.05
3715,kin8nm,dropoutFCN,32,0.1,0.0005,0.1,0.01,0.01
3716,kin8nm,noisyFCN,32,0.0001,0.0005,0.01,0.1,0.01
3717,power-plant,noisyFCN,32,1e-09,0.0005,0.01,0.001,0.01
3718,kin8nm,dropoutFCN,32,0.1,0.0005,0.1,0.01,0.005
3719,kin8nm,noisyFCN,32,0.0001,0.001,0.01,0.001,0.01
3720,kin8nm,noisyFCN,32,0.0001,0.001,0.01,0.005,0.01
3721,kin8nm,dropoutFCN,32,0.1,0.0005,0.1,0.01,0.001
3722,kin8nm,dropoutFCN,32,0.1,0.001,0.1,0.01,0.2
3723,kin8nm,dropoutFCN,32,0.1,0.001,0.1,0.01,0.1
3724,kin8nm,dropoutFCN,32,0.1,0.001,0.1,0.01,0.05
3725,kin8nm,noisyFCN,32,0.0001,0.001,0.01,0.01,0.01
3726,kin8nm,dropoutFCN,32,0.1,0.001,0.1,0.01,0.01
3727,kin8nm,dropoutFCN,32,0.1,0.001,0.1,0.01,0.005
3728,kin8nm,noisyFCN,32,0.0001,0.001,0.01,0.05,0.01
3729,power-plant,noisyFCN,32,1e-09,0.0005,0.01,0.005,0.01
3730,kin8nm,dropoutFCN,32,0.1,0.001,0.1,0.01,0.001
3731,kin8nm,dropoutFCN,32,0.1,0.002,0.1,0.01,0.2
3732,kin8nm,noisyFCN,32,0.0001,0.001,0.01,0.1,0.01
3733,kin8nm,dropoutFCN,32,0.1,0.002,0.1,0.01,0.1
3734,kin8nm,dropoutFCN,32,0.1,0.002,0.1,0.01,0.05
